five_digit_FIPS_code,Total People with Insurance
30093,33928
30023,8535
30043,11458
30039,3178
30055,1707
30107,2076
30057,7842
30087,9213
30091,3519
30011,1298
30021,9011
30003,13160
30007,5711
30047,29358
30049,65677
30073,6012
30111,154062
30063,113621
30081,41146
30105,7448
30013,78089
30027,11146
30033,1086
30061,4140
30069,453
30077,5244
30089,11284
30109,1096
30031,100355
30059,1975
30009,10380
30001,9233
30029,95564
30065,4733
31069,1861
31091,658
31123,4741
31127,6930
31159,16761
31171,643
31043,20314
31181,3517
31003,6310
31029,3734
31023,7934
31035,6165
31005,421
31041,10714
31061,2956
31067,21332
31081,9010
31115,537
31095,7164
31099,6474
31101,8068
31119,34438
31135,2867
31137,8928
31155,20683
31157,35917
31179,9375
31103,720
31105,3627
31107,8277
31111,35153
31121,7715
31139,7041
31165,1256
31021,6446
31025,25028
31039,8890
31051,5683
31057,1978
31075,680
31077,2409
31079,60427
31085,957
31131,15632
31145,10616
31027,8412
31045,8896
31097,3995
31033,9914
31047,23641
31071,1913
31117,432
31125,3472
31133,2666
31167,5978
31175,4208
31183,846
31083,3418
31185,13172
31009,502
31019,48238
31037,10531
31049,1882
31087,2823
31113,919
31141,32585
31143,5150
31169,4985
31013,11037
31017,3013
31001,31285
31161,5176
31109,301968
31011,5255
31129,4237
31149,1343
31007,728
31063,2616
31163,2986
31055,543154
31147,7899
31093,6378
31089,10130
31065,4731
31073,1983
31151,14043
31153,171101
31173,7005
31177,20234
31015,2022
31031,5740
31053,36025
31059,5374
33005,75355
33013,144508
33009,88326
33015,300188
33001,59629
33019,42581
33011,402033
33017,125124
33007,30072
33003,47059
32001,23152
32005,47330
32015,5845
32027,4714
32009,1097
32011,1723
32013,16871
32021,4399
32033,8381
32007,51729
32017,4696
32023,42853
32029,3860
32031,442940
32003,2088806
32510,52287
32019,52010
34025,623613
34021,367599
34037,142397
34011,143496
34035,330448
34013,788754
34029,584418
34001,270265
34015,290110
34023,828230
34033,62626
34031,506947
34009,92434
34007,505446
34003,931733
34039,552755
34041,106181
34017,675541
34019,121490
34005,434992
34027,494902
35045,126898
35037,8404
